	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1.0	-0.9451225795511612	0.1908409380591017	-0.7031631328711464	0.0393976351505586	-0.031127184029113866	-0.0699906736494727	0.21889792537615194	-0.5967201246991762	-0.7941863574405363	0.8646198696919696	0.8222436721037768	0.8112164039418506	0.09024907225638985	-0.09193107631302624	-0.1411526847497864	-0.14110964005504503	-0.2991006267568431	-0.7587931832856146	-0.8222769339133498	-0.7923347833743127	-0.24371910136359093	-0.23504164248120055	-0.25091730853263244	-0.2676558250559255	-0.12928017530930222	0.23224287303268065	0.7551800376967175	0.23224287303268065	0.8289241041215508	0.4480378793313724	0.4070897954121846	0.5086995936841693	0.4832549615532613	0.34504815199456046	0.13028697155455593	0.6675376965561709	0.6259824667842545	0.7388977650499641	0.6327648390063197	0.8123531751984295	0.8256078592332058	0.29751598391207223	0.8752935242744623	0.8480059219064887	0.6633539627308557	0.871947902875516	0.5092800448708333	0.29313170374141845	0.26407050734133763	0.7366140439398543	0.8332239824168944	0.35881144467126247	0.0214636500596756	-0.6319593814607805	-0.8408402846167392
cnr	-0.9451225795511612	1.0	-0.3291166236427761	0.7431255665920994	-0.04321817790502775	0.012414481278818749	0.06950283377573714	-0.21174207097157094	0.5953589992760665	0.8170248289625577	-0.8970005674073398	-0.8358855793750692	-0.8441253774563194	-0.2195403348355497	0.1703793802868342	0.21868857163354616	0.21820399272153343	0.2619210977701544	0.8129297132310261	0.8391367582127321	0.7859406896281852	0.3574337466222593	0.34731590240593757	0.36216110455295475	0.3763834630109112	0.2680360531928076	-0.2778357924080222	-0.8651592327609259	-0.2778357924080222	-0.8679008761305651	-0.6238500218484435	-0.4519147003183852	-0.42581703395965537	-0.47631041746831976	-0.33250712483912914	-0.18344416814089906	-0.6448782094322622	-0.5862466634241911	-0.7837784031944031	-0.6134103789889714	-0.78492587834004	-0.7987089558286263	-0.2102433545417128	-0.8980429097873616	-0.8891462150017283	-0.6428470688098269	-0.8727872744229728	-0.5033353116501118	-0.30607261441629735	-0.24454173824691525	-0.7222810400635821	-0.831979599423462	-0.4054008048053532	0.06593273288158144	0.6639833299636729	0.8618200079567466
efc	0.1908409380591017	-0.3291166236427761	1.0	-0.49637257528613743	0.21015111511536838	0.15285940853541646	0.27331615996471403	0.16235112232183826	-0.22536909729391466	-0.2055162943490093	0.31946838315770854	0.2726147246964077	0.356361399931228	0.5291450267178069	-0.5567641626938533	-0.5570227578439076	-0.5564964368197113	0.303424396546517	-0.219276295549128	-0.06556772967355823	-0.007978948463468194	-0.4532306300648672	-0.4709878579332594	-0.4667668546264451	-0.4693404144300127	-0.3438346986775225	0.19175008004332286	0.508654703573209	0.19175008004332286	0.32873556463954684	0.6782696430040775	0.21480215981058817	-0.09427276962145963	0.282902441964901	0.26299265785733156	0.38459349880835053	0.19441684768752365	0.08369320892546836	0.013288634069153368	0.27541133504554544	0.20216531860883444	0.20709425003462806	0.029687093267166783	0.2654684549080559	0.24569180643204613	0.12784193926294424	0.14794512239251692	0.15431217195722252	0.12279685330658997	0.20186433963982742	0.23301681463957008	0.06045648076819611	0.36115144300707747	-0.15056303142736746	-0.14956158665332336	-0.32889911675111627
fber	-0.7031631328711464	0.7431255665920994	-0.49637257528613743	1.0	-0.10726346614143444	-0.01780028566024692	-0.0729985847426123	-0.217052873233374	0.5209679838778053	0.6186383528230146	-0.7091548239406766	-0.7489639924606565	-0.7264105289932107	-0.1704335122514332	0.08362018926621839	0.11390865394022005	0.11335820360140612	0.16087498124947008	0.6117740283964547	0.579727905353847	0.5099472376393246	0.285832798399654	0.28561394126355744	0.2942574464060941	0.30412902973344896	0.2095102687684652	-0.3206880374311878	-0.8098552785187407	-0.3206880374311878	-0.8534046026737026	-0.5653764128116664	-0.28695061088499607	-0.3449686621578436	-0.41510738346953285	-0.33145769106062445	-0.10330771054177557	-0.5404100983270717	-0.507528012888634	-0.5086884291402247	-0.6274514279751384	-0.6154426103346399	-0.6197151592825768	-0.19429549383890532	-0.6543437984920395	-0.6700643713844087	-0.6176946065460991	-0.6311845769554357	-0.4529456267242335	-0.27356523468607574	-0.30992136984943464	-0.6614924945399034	-0.5561081074030353	-0.3583601275688226	-0.05795315954581325	0.4405696247937442	0.7848560937591714
fwhm_avg	0.0393976351505586	-0.04321817790502775	0.21015111511536838	-0.10726346614143444	1.0	0.9500146743277528	0.9264920530362815	0.9460271703330746	-0.11852813231678287	-0.009582009926367485	0.10140286573316203	-0.07385360890633866	0.208056532032427	0.12713054934161183	-0.20459404287512473	-0.19992173691865206	-0.20442577725022665	-0.18961253252809318	0.05107448688767291	0.13141153989134474	0.18775900188483588	-0.09382668866077135	-0.07671021137553888	-0.08133164632913539	-0.07998682571463976	-0.03872000730455426	0.022219018485479546	0.07764480300530233	0.022219018485479546	0.037194609212846945	0.12551767767349947	-0.20521842517230857	0.20346248915730228	-0.053621950185548724	-0.06192768079643712	-0.06339700725590618	0.005730663700488565	0.0476583111574319	-0.01980383022968669	0.1443960372793144	0.10316965479459202	0.09433483288635372	0.16643500516285759	0.06484417875828744	-0.011381408605025794	-0.016071657712335066	-0.08330061501738092	0.08561133249417918	0.08174011914724315	0.18188302382132915	0.019730305208498344	-0.14574411885553287	-0.12266237958898839	0.06676166935152515	0.010720085567635608	0.06604295338781313
fwhm_x	-0.031127184029113866	0.012414481278818749	0.15285940853541646	-0.01780028566024692	0.9500146743277528	1.0	0.8193707648259625	0.8746897194920726	-0.08265690117329402	0.05674660370836567	0.04607478037422797	-0.15773467511038355	0.15195690312987106	0.12688532502005492	-0.17535365129884106	-0.16853889349046822	-0.1732438090641692	-0.1963138088685115	0.09862256976827606	0.15672769013037324	0.19689099909345265	-0.11979340499732842	-0.09967846917412883	-0.10389945802816167	-0.10034892290434295	-0.06437855852448005	-0.028666411471808803	0.026825975516699387	-0.028666411471808803	-0.05095438161307755	0.10453925871818116	-0.23268716759567704	0.13654038048901382	-0.11956903129871062	-0.12783623111873108	-0.06594578963583532	-0.06394257142935739	-0.01854900549618908	-0.05107549015947863	0.0246143912762752	0.025063099609336784	0.014452489851358968	0.11175308474734998	-0.006347482613326895	-0.07249639663729628	-0.09156295852202499	-0.12798492131299363	0.008671549413352986	0.02186316837381677	0.0937149362990909	-0.06317879294995238	-0.16874302969431745	-0.14869007167593867	0.08906990849741406	0.06795648572677054	0.1602332239824169
fwhm_y	-0.0699906736494727	0.06950283377573714	0.27331615996471403	-0.0729985847426123	0.9264920530362815	0.8193707648259625	1.0	0.8053903697278402	-0.01737309967455602	0.053127588388367494	-0.0069086735059903865	-0.14315621963229397	0.07849721839965043	0.1343933632907017	-0.2018150512949279	-0.19007493690039065	-0.1940774413189938	-0.07441188555328737	0.12820275355607877	0.24809853321941708	0.3078960927156637	-0.03569971037763784	-0.022991736722994347	-0.024375036685819383	-0.022104102942039665	-0.00557950550776435	0.04415786171516519	-0.01058703832934409	0.04415786171516519	-0.042918815563460104	0.07963855500264137	-0.2340117717593112	0.11674503844673871	-0.09003450097502755	-0.0718343617546151	-0.022948173333199543	-0.07835842071768594	-0.04793908000754651	-0.1422220236658061	0.11652655401130901	-0.0035472741620958853	-0.006995991330087585	0.11888102837762728	-0.0352750975810904	-0.1009045907819134	-0.1155535395555804	-0.17794350709911366	0.021016246111303146	0.04295652984639809	0.16919617267667106	-0.06357086137331225	-0.27007871961598917	-0.16128129708013486	0.018571177011524238	0.08625700291529978	0.1279079626163348
fwhm_z	0.21889792537615194	-0.21174207097157094	0.16235112232183826	-0.217052873233374	0.9460271703330746	0.8746897194920726	0.8053903697278402	1.0	-0.25242713381030335	-0.13675625615506526	0.2573648820510145	0.09833625732901147	0.36603056173326637	0.08997645585636116	-0.19751906032126995	-0.204020765804251	-0.20810740303530317	-0.27825199407809353	-0.08483652798883447	-0.04013526469226304	0.015483698452347566	-0.09946358801394324	-0.0833417031350886	-0.09121823008041531	-0.09334046396963393	-0.04753829999543465	0.05129560653177062	0.20521819094887464	0.05129560653177062	0.2034613550636642	0.16546837193225025	-0.12400897222040529	0.33467641476824345	0.056857476406941936	0.022582719171502705	-0.08774660322334187	0.16210215870333228	0.20848929564683014	0.14446165327254887	0.26476661296949694	0.2750353814346927	0.2643004707451866	0.2447699837651099	0.22994851509767883	0.1428672984236511	0.169101166006369	0.07383273875131253	0.20938178687658565	0.1608743114580583	0.24389958483430807	0.18169794600313421	0.034966640361575436	-0.03899001493520469	0.10548819857952507	-0.12521440823327615	-0.10308552198214298
icvs_csf	-0.5967201246991762	0.5953589992760665	-0.22536909729391466	0.5209679838778053	-0.11852813231678287	-0.08265690117329402	-0.01737309967455602	-0.25242713381030335	1.0	0.2199675208212406	-0.7403772280520972	-0.6402637465841426	-0.7088404672305957	-0.16392658922969564	0.2019585336107325	0.2321530825871166	0.2289266870585473	0.0484768047792655	0.26100541971838337	0.3262826992936757	0.357227269466311	0.24307930056925312	0.2862067841047682	0.28844315165428586	0.30854111094443976	0.09764362905908211	-0.17483440276999868	-0.6330791957164007	-0.17483440276999868	-0.615204947772235	-0.46183305180363793	-0.32265655202165816	-0.5152495614006483	-0.7573022715859361	-0.7189019241430435	-0.12226491138832214	-0.8491690492711949	-0.8255093337707481	-0.3935790327885441	-0.4480072262911778	-0.7472617704413386	-0.7287532823248365	-0.6558608264508282	-0.5560686967405348	-0.40808131534152053	-0.75901823481782	-0.36179522464765307	-0.5884346731538065	-0.4042784465158559	-0.48187824777634425	-0.6482942710670164	-0.4216488726855324	-0.6800455230256507	-0.157355099165846	0.6216697428405585	0.6257465971864422
icvs_gm	-0.7941863574405363	0.8170248289625577	-0.2055162943490093	0.6186383528230146	-0.009582009926367485	0.05674660370836567	0.053127588388367494	-0.13675625615506526	0.2199675208212406	1.0	-0.7811340320487318	-0.6715578918534654	-0.6558113598862576	-0.042035753184329123	0.12322000404359254	0.16401854835027946	0.16443660364314644	0.267321250383163	0.918947491994339	0.7989832321348213	0.6491133445075622	0.20132170061138419	0.16509988325757033	0.1827886440268964	0.19014733025063751	0.11306145608462848	-0.21464394451524252	-0.6398580829458224	-0.21464394451524252	-0.7143080859626213	-0.35400609147649825	-0.413085080382252	-0.2127673173372291	-0.20461621741483998	-0.03806790050727608	-0.23176177653328583	-0.3582501275127766	-0.2714578245892569	-0.7667101950921137	-0.6080832719185543	-0.5998434738373041	-0.6350475700983932	0.11058063977339101	-0.8357737270584016	-0.9202486157217487	-0.40082000183597033	-0.8515147167202551	-0.40767043416444376	-0.26212055462813205	-0.20673361078620556	-0.6085763045884299	-0.6880146612839059	-0.175486046344788	0.3103144219293154	0.4919910780087263	0.687799437810199
