	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1.0	-0.7501710683119979	0.2838909586084972	-0.1318879022027448	0.19171952485295812	0.07077628642669904	0.15420751162880098	0.26534425095144737	-0.35681390074193675	-0.07577749586745089	0.27993695459962326	0.35264675354630376	0.4185291969399915	0.004128704878330065	0.19371083688924767	0.18325452658286243	0.1657017645023642	-0.09422980817283666	-0.011771037558144005	0.3665167416291854	0.9518010225656403	-0.17668089032406872	-0.13455579902356515	-0.07412447622342674	0.7019105831699535	-0.10293314881021028	-0.14840291308991352	-0.28415792103948023	-0.14840291308991352	-0.31375910844464305	-0.23422135086303003	0.26365329576279006	-0.4441240918002537	-0.4832045515703687	-0.4777611194402799	-0.48195211965589896	-0.48398877484334757	-0.4523353707761504	0.18272052958271862	-0.5050167224080268	-0.4592472994272095	-0.45577211394302847	-0.29079858608825115	-0.4514828191351498	-0.43190712336139625	-0.8945988544189444	0.21743484470536817	-0.10790758466920386	0.3612413888653948	-0.26067735363087685	-0.27298658363126127	0.4183062314996348	-0.00017683465959328028	0.35183946488294315	0.8170683888824818
cnr	-0.7501710683119979	1.0	-0.5138070362638852	0.27680774997116825	-0.02357282897013032	0.08928629778645984	0.015730596240341368	-0.1253834621150963	0.32470687733056547	0.4385038250105716	-0.5985315034790297	-0.3433129589051628	-0.20752700572790528	-0.12508361204013377	0.1087763810402491	0.1230000384423173	0.14173682389574443	0.24962134317456655	0.46728174374351283	0.0546111559604813	-0.6091800253719294	0.1436896936147311	0.17365163572060124	0.10444777611194403	-0.4503825010571637	-0.024779917733440973	-0.06871665836057037	-0.059416445623342175	-0.06871665836057037	-0.0360320532658438	-0.12339215007880674	-0.31352460985836156	0.19168877099911583	0.1707069542152001	0.16697036097335946	0.3747469990850716	0.1618190904547726	0.12869718986660517	-0.34875321714825724	0.20220658901318572	0.1834928689501403	0.18197055318494598	0.5498090366967779	0.14727280066301887	0.1012570637758044	0.6203744281705301	-0.27447588403880024	-0.1144274016837735	-0.4068151064211765	-0.0021450813055010954	0.005827855303117672	-0.24293237996386421	0.34769538307769193	-0.08262022834736478	-0.5159958482297313
efc	0.2838909586084972	-0.5138070362638852	1.0	-0.49002964034543933	-0.05833823493329287	-0.1481313468971964	-0.14748905325968903	0.08858185234483916	-0.03357668164134299	-0.4698275036354259	0.43433248398869817	0.35450425015740816	0.12163570038150816	0.17849769925454506	-0.5205577407477642	-0.5248788067158051	-0.5366348740914894	-0.25129458997591797	-0.4778084048361848	-0.24869964377624923	0.15394374165856867	-0.25753014958460335	-0.30846798239291506	-0.2892346255974446	-0.031616055623815524	0.02114016170663443	0.24820675965566905	0.30593839039383064	0.24820675965566905	0.31305875562855273	0.2984303460561225	0.15911856244355235	0.012474963582111061	0.021282403202023677	0.016403904346646504	-0.1502430623435153	0.028402166700966573	0.03715962957925594	0.1346299119780914	0.03939320549334115	0.008645976300822119	0.010283675680168594	-0.3334313653380532	0.04000453638046885	0.06831820579898172	-0.21081342926108607	0.1323026532586177	0.07000588191995144	0.12295718502524249	0.051253070717012225	0.05206423167720496	0.009814663181858101	-0.38499006254759016	0.05815370542576087	0.043187593491967845
fber	-0.1318879022027448	0.27680774997116825	-0.49002964034543933	1.0	0.18031753354092184	0.2189524832827696	0.16703186868104408	0.09586745088993964	0.19964633068081344	0.45415753661630726	-0.5230538576865413	-0.4171837158343905	0.10499365701764503	-0.16418713720063047	0.2820666589782032	0.28310460154538114	0.2937608119017414	0.44260946449851996	0.5287510091108292	0.42386499058163224	-0.0260638911313574	0.3179025871679545	0.39844693038096335	0.36960750394033753	0.25084380886479835	-0.04111021412370738	-0.2928763037511955	-0.25592588321224	-0.2928763037511955	-0.24160658441320995	-0.17568907853765425	-0.1080961597975314	-0.009057009956560181	0.01658401568446546	0.025687156421789106	0.21467549568030664	-0.02416484065659478	-0.058624533886902704	0.10537828274013765	-0.026663591281282435	0.06086956521739131	0.06466766616691653	0.4095706545102567	0.019113556901501693	-0.02786299158113251	-0.04403183023872679	0.1172958749253053	0.13206473686233805	0.15752245049057048	0.10839195786722024	0.10346365278899013	0.07090301003344482	0.4776688578787529	0.2761080997962557	0.1604351670318687
fwhm_avg	0.19171952485295812	-0.02357282897013032	-0.05833823493329287	0.18031753354092184	1.0	0.895892238290661	0.8947603121516166	0.9144504670741552	0.1627109522161996	0.044539268827124896	-0.15792103948025987	0.09436051205166647	0.450159535616807	-0.020943374466612846	-0.1122131242071272	-0.11383538999730904	-0.10999884673048091	0.26725098988967055	0.22033598585322722	0.3435666781993619	0.2627071079844693	0.18554568869411447	0.16112712874332064	0.20344443163033868	0.3212086264560028	0.03043862684042594	-0.1276556498561603	-0.16608618767539307	-0.1276556498561603	-0.14756111859697155	-0.04966747395533003	0.07801498868847051	-0.14477376696267252	-0.07716141929035482	-0.0684580786529812	0.16461542897993323	-0.112689808941683	-0.1347095682927767	-0.046119336715067544	-0.17202168146695881	-0.100172990427863	-0.10024987506246877	0.1118370343906326	-0.1166611245554851	-0.12628301233998385	-0.24450851497328258	0.10396784666212906	-0.012862799369545996	0.10491757904111308	-0.03330642371122131	-0.039195786722023604	-0.09348402721716065	-0.02484911390458617	0.16686272248491138	0.2386191519624803
fwhm_x	0.07077628642669904	0.08928629778645984	-0.1481313468971964	0.2189524832827696	0.895892238290661	1.0	0.7736877209250461	0.711437956865107	0.1800218737209217	0.17007682711911462	-0.2909281723147117	-0.07864544390404699	0.4089194036054984	0.010064218014507529	-0.058209468745482426	-0.058736129504835956	-0.05139747702596091	0.36130081363387706	0.30835026400369114	0.37578975087477806	0.1583134554138461	0.29093970503206984	0.2765122756170787	0.3108682406268777	0.3029029771715455	0.061307925475693685	-0.15868841624529212	-0.2096724900486133	-0.15868841624529212	-0.19092450284282028	-0.10380598894031581	-0.055353305475360305	-0.14862981707215606	-0.06867733186752369	-0.06226898525553588	0.19367462816812203	-0.11019511435670676	-0.14492397056108455	0.018233261189640526	-0.16638635756452058	-0.08496152877716993	-0.08532673149350997	0.16831329191906877	-0.10760430401839087	-0.12873203539030315	-0.14658852609977124	0.0642337618407994	-0.010233364535759756	0.06521417381969241	-0.02030911526762539	-0.025414264818147164	-0.16456034398282038	0.08100580672333944	0.13778521851641667	0.21389346460168024
fwhm_y	0.15420751162880098	0.015730596240341368	-0.14748905325968903	0.16703186868104408	0.8947603121516166	0.7736877209250461	1.0	0.7553684696113482	0.12111636489447584	0.042063583592818976	-0.132902779379541	0.10288701802944682	0.4095567600814977	0.06429861992080883	-0.04057971014492753	-0.03961865221235536	-0.0367816091954023	0.22988505747126436	0.22968515742128937	0.30936070426325296	0.22369584438549955	0.2624457002268097	0.24906777380540499	0.28302002844731483	0.3283588974743398	0.13484027217160652	-0.14473869109922285	-0.18923615115519163	-0.14473869109922285	-0.18252062914851144	-0.015646023142275017	0.07984100227017069	-0.1564525429592896	-0.0904701495406143	-0.08151308960904163	0.14863480409332192	-0.11948641064083343	-0.13587052627532387	-0.11426616358411833	-0.17036097335947412	-0.11431976319532541	-0.11328950909160804	0.08894834668398381	-0.12868206028175133	-0.1384461615346173	-0.16555568369661322	0.046569291716214885	-0.056394879483335256	0.040295546808916435	-0.07699227309422212	-0.07999077384384731	-0.14884865259677854	-0.05823242225041325	0.05905508784069504	0.17816476377196017
fwhm_z	0.26534425095144737	-0.1253834621150963	0.08858185234483916	0.09586745088993964	0.9144504670741552	0.711437956865107	0.7553684696113482	1.0	0.16271864067966016	-0.03544381655326183	-0.08737169876600162	0.22761696075039403	0.46047745358090186	-0.04903701995156268	-0.18580709645177412	-0.18834428939376466	-0.18687579287279438	0.1580748087494714	0.13675469957329028	0.2877484334755699	0.31550378656825434	0.03978779840848806	0.003851920193749279	0.049198477684234805	0.2726867335562988	-0.053942259639411065	-0.048196246225926	-0.0838734478914389	-0.048196246225926	-0.06578646404975834	-0.008995502248875561	0.16038550029918586	-0.12313074232114712	-0.06936531734132934	-0.06059278053281052	0.10354537679116559	-0.0978203206089263	-0.1112981970553185	-0.05648340538088584	-0.15276976896167302	-0.09206166147695383	-0.09143889593664706	0.07727334759680002	-0.10310249318147133	-0.10634682658670665	-0.3266289931957098	0.15761440980393018	0.025510321762195826	0.16581452208633776	-0.0032368431169030867	-0.011586514435090147	-0.002452619843924192	-0.06415253911505786	0.23395994310537038	0.2567177949486795
icvs_csf	-0.35681390074193675	0.32470687733056547	-0.03357668164134299	0.19964633068081344	0.1627109522161996	0.1800218737209217	0.12111636489447584	0.16271864067966016	1.0	-0.19963095375389228	-0.4211355860531273	-0.18367739207319417	0.11887133356398724	0.02981586130011917	-0.4211278975896667	-0.4194518125552608	-0.4043516703186868	0.5699611732595241	0.18354668819436434	0.22913158805212777	-0.25737131434282856	0.1649252296928459	-0.025594894860262177	0.026363741206319916	-0.21985161265521086	-0.06743551301272441	-0.025080503720120887	-0.013662399569446046	-0.025080503720120887	0.001291664344107918	0.013685464959827778	0.3375318831588197	-0.0894860262176604	0.12243109214623457	0.10494752623688156	0.6367031552129203	0.06752008611079076	-0.030284857571214394	-0.32742537851399917	-0.022488755622188907	0.0069965017491254375	0.004982124322454157	0.1697584078666281	-0.01468499343598883	-0.04801445431130589	0.18354668819436434	-0.15088312122913305	-0.08546495982777842	-0.20003613606200787	-0.028109022411870986	-0.026778918233191097	-0.6105178180140699	-0.13474801061007957	0.31431207473186484	-0.22989274593472495
icvs_gm	-0.07577749586745089	0.4385038250105716	-0.4698275036354259	0.45415753661630726	0.044539268827124896	0.17007682711911462	0.042063583592818976	-0.03544381655326183	-0.19963095375389228	1.0	-0.7566524430092646	-0.3727905278130166	0.26110790758466923	-0.030277169107753816	0.6316687809941183	0.6345442663283742	0.643262983892669	0.3246684350132626	0.8128012916618613	0.5502787068004459	0.05386537500480529	0.030430938376965363	0.24097951024487757	0.16918463845000575	0.22436474070656978	-0.11676469457578903	-0.10220218754936888	-0.2421865990081882	-0.10220218754936888	-0.26969259541931845	-0.2670357129127744	-0.4155391833690515	-0.0003767347095682928	-0.11831007573136508	-0.10273324876023526	-0.06113924902493772	-0.14555030177219083	-0.148894783377542	0.20344482267523584	-0.09138507669242302	0.01276284934455849	0.021458501518471534	0.5841728222879324	-0.04730336236383313	-0.10434013762349595	-0.09171568062122784	0.16659458690885653	0.14023757352093183	0.18959512240688317	0.10861492330757698	0.0999654019144274	0.4932995040941068	0.8421327797639642	0.3126206127705378	0.3244685349632876
