tree	field	value	count	classification	reason
release	ProtocolName	fMRI1_AP	518	SAFE	
release	ProtocolName	Movie1_AP	496	SAFE	
release	ProtocolName	fMRI4_AP	495	SAFE	
release	ProtocolName	fMRI3_AP	492	SAFE	
release	ProtocolName	SpinEchoFieldMap_AP	490	SAFE	
release	ProtocolName	SpinEchoFieldMap_PA	490	SAFE	
release	ProtocolName	REST1_AP	490	SAFE	
release	ProtocolName	Control1_PA	488	SAFE	
release	ProtocolName	Movie3_AP	487	SAFE	
release	ProtocolName	Movie2_AP	484	SAFE	
release	ProtocolName	fMRI2_AP	482	SAFE	
release	ProtocolName	Movie4_AP	476	SAFE	
release	ProtocolName	Control2_AP	450	SAFE	
release	ProtocolName	Control3_PA	442	SAFE	
release	ProtocolName	tfl_b1map_1mmiso	248	SAFE	
release	ProtocolName	T1w_MPR	245	SAFE	
release	ProtocolName	gsld_76dir_b2000_1mmiso_AP	240	SAFE	
release	ProtocolName	Sag Flair 3D-0.8	124	SAFE	
release	ProtocolName	resolve_3scan_trace_tra_p3_160_1.4iso_AP	121	SAFE	
release	ProtocolName	WMn_MPRAGE_sagittal	111	SAFE	
release	ProtocolName	Control3_AP	36	SAFE	
release	ProtocolName	Control2_PA	28	SAFE	
release	ProtocolName	Movie4_AP_redo_cuz_gogle_moved	4	SAFE	
release	ProtocolName	fMRI1_AP_REDO	4	SAFE	
release	ProtocolName	Control2_AP_redo	4	SAFE	
release	ProtocolName	fMRI1_AP_Rerun	4	SAFE	
release	ProtocolName	fMRI2_AP_Rerun	4	SAFE	
release	ProtocolName	SpinEchoFieldMap_AP_rerun	2	SAFE	
release	ProtocolName	Sag Flair 3D-0.8_usethisone	1	SAFE	
release	PulseSequenceDetails	%CustomerSeq%\cmrr_mbep2d_bold	5780	SAFE	
release	PulseSequenceDetails	%CustomerSeq%\cmrr_mbep2d_se	946	SAFE	
release	PulseSequenceDetails	%SiemensSeq%\tfl	344	SAFE	
release	PulseSequenceDetails	%CustomerSeq%\ep2d_gslider_sms_mgh_legacy_dev_CLv7	235	SAFE	
release	PulseSequenceDetails	%SiemensSeq%\tfl_b1map	228	SAFE	
release	PulseSequenceDetails	%SiemensSeq%\resolve	115	SAFE	
release	PulseSequenceDetails	%SiemensSeq%\tse_vfl	115	SAFE	
release	ScanningSequence	EP	6961	SAFE	
release	ScanningSequence	GR\IR	344	SAFE	
release	ScanningSequence	GR	228	SAFE	
release	ScanningSequence	RM	115	SAFE	
release	ScanningSequence	SE\IR	115	SAFE	
release	SequenceName	epfid2d1_104	5780	SAFE	
release	SequenceName	epse2d1_104	946	SAFE	
release	SequenceName	gs_b0	235	SAFE	
release	SequenceName	*tfl3d1_16ns	235	SAFE	
release	SequenceName	tfl2d1_512	228	SAFE	
release	SequenceName	*re_b0	115	SAFE	
release	SequenceName	*spcir_288ns	115	SAFE	
release	SequenceName	*tfl3d1_200	109	SAFE	
release	SeriesDescription	SpinEchoFieldMap_AP	481	SAFE	
release	SeriesDescription	SpinEchoFieldMap_PA	481	SAFE	
release	SeriesDescription	fMRI1_AP	257	SAFE	
release	SeriesDescription	fMRI1_AP_SBRef	256	SAFE	
release	SeriesDescription	Movie1_AP	248	SAFE	
release	SeriesDescription	fMRI4_AP	247	SAFE	
release	SeriesDescription	fMRI3_AP	246	SAFE	
